E457CA;En venta casa de Lujo en Las Palmas;Excelente estado;Las Palmas, Las palmas, Santa Cruz;¡Preguntale!;4;3;600 m2;1;650 m2;2;U$S 850.000
Y5E169;OFERTA 4TO ANILLO Z-NORTE COND EL BOSQUE;Excelente estado;SOBRE RADIAL 26 , 4TO Y 5TO ANILLO , Norte, Santa Cruz;2008;3;3;288 m2;1;130 m2;2;U$S 159.000
A0FA1C;hermosa casa a estrenar Hacienda del urubo;En construcción;urubo, Urubó, Santa Cruz;2022;4;3;771 m2;1;535 m2;3;U$S 690.000
S95FD3;Casa en Condominio (Zona Norte km 8½) Hermosas áreas sociales;A estrenar;Km 8½ Zona Norte, Remanso, Santa Cruz;2022;3;3;160 m2;2;161 m2;2;U$S 112.900
FAD930;COND. JARDINES DEL URUBO II;Excelente estado;CONDOMINIO JARDINES DEL URUBO II, Urubó, Santa Cruz;2016;3;3;269 m2;1;180 m2;2;U$S 220.000
UE2A85;PLATINIUM II - 2DORM PISO 10;A estrenar;4TO ANILLO SAN MARTIN , Equipetrol, Santa Cruz;2020;2;1;73 m2;3;73 m2;1;U$S 98.750
Y24B49;CASA EN VENTA - BARRIO LAS PALMAS;Buen estado;Las palmas, Santa Cruz;¡Preguntale!;3;3;240 m2;1;223 m2;2;U$S 245.000
Q8A79F;CASA DE LUJO EN EL URUBÓ- CONDOMINIO CERRADO;A estrenar;URUBÓ "Urbanización cerrada Santa Cruz la vieja", Urubó, Santa Cruz;2022;3;3;453 m2;2;374 m2;3;U$S 359.000
Z84776;Linda Casa al norte;A estrenar;banzer, Norte, Santa Cruz;2021;3;3;182 m2;2;290 m2;2;U$S 170.000
N54532;CASA OESTE;A estrenar;6to anillo, Oeste, Santa Cruz;2017;3;3;170 m2;2;134 m2;2;U$S 124.000
F57EE0;CASA EN VENTA - REMANSO;Excelente estado;REMANSO - AV. BANZER, Norte, Santa Cruz;¡Preguntale!;4;3;420 m2;2;260 m2;3;U$S 190.000
S48132;URUBO LA CAÑADA;Buen estado;URUBO LA CAÑADA, Urubó, Santa Cruz;2020;4;3;750 m2;2;450 m2;3;U$S 450.000
TB1922;COLINAS DEL URUBO SECTOR LA CAÑADA;Buen estado;COND. LA CAÑADA , Urubó, Santa Cruz;2020;4;3;750 m2;1;400 m2;3;U$S 450.000
HD3B7B;Pre Venta HERMOSA CASA ( Urubó);En construcción;Condominio Santa Cruz la Vieja , Urubó, Santa Cruz;2022;3;3;453 m2;2;378 m2;3;U$S 339.000
U5C884;hermosa casa en venta;Buen estado;Beni 2do anillo, Norte, Santa Cruz;2014;5;3;605 m2;2;615 m2;3;U$S 450.000
5AC75;HERMOSA CASA NORTE;Excelente estado;KM 11 NORTE, Norte, Santa Cruz;2012;5;3;1.100 m2;2;517 m2;2;U$S 280.000
B63376;CASA EN VENTA - URUBO;Excelente estado;URUBO , Urubó, Santa Cruz;2012;4;3;690 m2;3;270 m2;3;U$S 267.000
T31B9B;Hermosa y Amplia Casa en Venta ZONA Canal Isuto;Reciclada;CANAL ISUTO 4to. Anillo Villa Brigida , Norte, Santa Cruz;2015;3;3;400 m2;2;350 m2;3;U$S 320.000
T95C17;Virgen de Cotoca 4to. Anillo CASA EN VENTA;Buen estado;Av. Virgen de Cotoca 4to Anillo, Este, Santa Cruz;2000;5;3;300 m2;2;452 m2;3;U$S 370.000
74AF1;CHALET EN LAS PALMITAS;Buen estado;B/LAS PALMITAS, Sur, Santa Cruz;¡Preguntale!;3;2;300 m2;1;120 m2;1;U$S 86.000
18520;CHALET EN ZONA DOBLE VIA A LA GUARDIA. MODERNO;A estrenar;Radial 17 Y 1/2, Doble via la guardia, Santa Cruz;2019;3;2;280 m2;1;120 m2;2;U$S 79.000
4D441;CASA EN CONDOMINIOO EN ZONA SUR;A estrenar;6to y 7mo sur, Sur, Santa Cruz;2018;4;3;300 m2;2;200 m2;3;U$S 96.000
5F09C;CASAS CHALETS A ESTRENAR;A estrenar;AV MONTECRISTO 9NO ANILLO, Este, Santa Cruz;2019;3;2;300 m2;1;85 m2;1;U$S 63.500
05697;CASA DENTRO DE CONDOMINIO;A estrenar;7MO ANILLO ZONA SUR, Sur, Santa Cruz;2018;4;3;260 m2;2;150 m2;2;U$S 96.000
E2391;CASAS MINIMALISTAS ZONA OESTE;A estrenar;R17 7MO ANILLO, Oeste, Santa Cruz;2019;3;2;240 m2;1;110 m2;1;U$S 79.000
719B3;CASA SOBRE AVENIDA;A estrenar;6TO ANILLO EXTERNO ZONA SUR, Sur, Santa Cruz;¡Preguntale!;3;3;210 m2;2;150 m2;1;U$S 100.000
CA143;LINDO DEPARTAMENTO EN LAS PALMAS;Excelente estado;LAS PALMAS, Oeste, Santa Cruz;¡Preguntale!;3;3;200 m2;1;200 m2;2;U$S 221.000
68792;EL CASADO,DEPARTAMENTO QUIERE EN 2DO ANILLO , RESIDENCIAS SUR;A estrenar;Sur, Santa Cruz;2018;2;2;79 m2;1;79 m2;¡Preguntale!;U$S 72.000
2C2E9;CASAS TIPO CHALET;A estrenar;8VO ANILLO BARRIO EL FUERTE, Sur, Santa Cruz;2018;2;1;400 m2;1;85 m2;¡Preguntale!;U$S 70.000
E96D9;casa para empresa en EXCELENTE UBICACION CRUCEÑA;Excelente estado;AV PARAGUA, Este, Santa Cruz;2015;5;3;1.000 m2;1;893 m2;3;U$S 430.000
F93BE;CASA RESIDENCIAL EN ZONA NORTE;Excelente estado;2do anillo zona del Cristo, Norte, Santa Cruz;¡Preguntale!;4;3;360 m2;2;300 m2;2;U$S 365.000
9791F;VIVIENDA FAMILIAR;Excelente estado;PLAN 3000 MERCADO LOS POCITOS, Este, Santa Cruz;¡Preguntale!;5;3;400 m2;2;200 m2;3;U$S 170.000
H93546;I-201 245 CASA EN URBANIZACIÓN PALOS VERDES;Excelente estado;Norte, Santa Cruz;¡Preguntale!;3;3;210 m2;2;220 m2;2;U$S 145.000
HDE30F;Amplia Casa en Esquina - Condominio Fontana Riviera 1;Excelente estado;Km 8 y medio entre Av. G77 y Avenida Internacional, Norte, Santa Cruz;2018;4;3;371 m2;1;149 m2;2;U$S 136.000
P9BD1F;En CONDOMINIO TERRANOVA en 7mo. anillo Norte vendo casa;Excelente estado;Septimo anillo Norte, Remanso, Santa Cruz;¡Preguntale!;3;3;180 m2;2;250 m2;2;U$S 141.000
A85C08;En Venta! Hermosas Casas gemelas en Zona Norte;A estrenar;Av. Alemana 5to Anillo, Norte, Santa Cruz;2022;4;3;180 m2;2;200 m2;2;U$S 139.500
Y34252;DEPARTAMENTO EN VENTA;A estrenar;Santa Cruz, Av. Santos Dumont, Sur, Santa Cruz;2022;1;1;45 m2;1;45 m2;1;U$S 34.000
F9083A;CASA EN VENTA;Excelente estado;Santa Cruz, Av. Paragua , Norte, Santa Cruz;¡Preguntale!;4;3;250 m2;2;361 m2;3;U$S 257.000
LBB3D4;CASAS A CREDITO DIRECTO;A estrenar;KM 10 VIRGEN DE COTOCA, Este, Santa Cruz;¡Preguntale!;2;1;210 m2;1;60 m2;1;U$S 36.000
S77247;Casa en venta en condomimio exclusivo Barrio Norte.;Excelente estado;av banzer entre 4to y 5to anillo, Norte, Santa Cruz;2019;4;3;270 m2;2;500 m2;3;U$S 550.000
QB9F55;CASA EN VENTA EN COCHABAMBA;Excelente estado;Pacata, Cochabamba;¡Preguntale!;4;3;347 m2;2;420 m2;3;U$S 224.000
F4F602;CASA EN ZONA ESTE;A estrenar;KM 10 VIRGEN DE COTOCA, Este, Santa Cruz;2022;3;2;240 m2;1;120 m2;2;U$S 58.000
NADE1B;Hermosa casa amplia en venta en el Urubó Golf;Excelente estado;a 5 minutos del puente, Urubó, Santa Cruz;2013;5;3;1.282 m2;1;518 m2;3;U$S 680.000
Z363A2;Casa en venta;A estrenar;Av. G-77, Norte, Santa Cruz;¡Preguntale!;3;1;300 m2;1;104 m2;1;U$S 73.000
TBFAE4;casa en venta centro de santa cruz;Buen estado;calle 24 de septiembre, Centro, Santa Cruz;¡Preguntale!;5;3;412 m2;2;560 m2;¡Preguntale!;U$S 350.000
O24256;Casa zona Satélite Norte;Excelente estado;Urb. Integración del Norte MZ 10 lote 16, detrás del mercado Monumental (zona Satélite Norte), Norte, Santa Cruz;2020;3;1;300 m2;1;120 m2;1;U$S 45.000
MA7C17;Casa en venta zona Av La Barranca;Buen estado;calle 1 pajonal, Sur, Santa Cruz;12;5;3;634 m2;2;541 m2;3;U$S 355.000
S882FA;URB LA TRANQUERA II, CASA EN VENTA;A estrenar;URB. LA TRANQUERA II, Este, Santa Cruz;2020;3;2;298 m2;1;115 m2;2;U$S 57.000
J575A1;CASA EN VENTA, IRPAVI CALLE 4;Excelente estado;Calle 4 de Irpavi, Irpavi, La Paz;¡Preguntale!;4;3;760 m2;1;512 m2;3;U$S 539.000
A66FF8;HERMOSA CASA EN VENTA CHILIMARCA;Excelente estado;Tiquipaya, Cochabamba;2013;5;3;1.203 m2;2;592 m2;3;U$S 690.000
A2BCD8;CASA EN VENTA EN CONDOMINIO Zona Norte km9;Buen estado;km9 a 1 cuadra de la Banzer, Norte, Santa Cruz;2002;3;3;266 m2;2;180 m2;3;U$S 160.000
EA6CEE;I-201 244 CASA VENTA O ANTICRETICO LUJAN Urbanización las Maras;Requiere mantenimiento;Este, Santa Cruz;¡Preguntale!;3;1;381 m2;1;¡Preguntale!;1;U$S 37.000
W9A4E2;I-201 243 CASA AMPLIA Y NUEVA;Excelente estado;Sur, Santa Cruz;¡Preguntale!;3;1;360 m2;1;125 m2;1;U$S 60.000
D43F49;CASA DE PLAYA EN VENTA Beach Housing;A estrenar;urubo, Urubó, Santa Cruz;2018;2;2;110 m2;1;90 m2;2;U$S 80.000
L7487A;CASA EN VENTA DE 3 DORMITORIOS con Estudio y churrasquera️;Buen estado;URBANIZACION/ Espíritu Santo, Este, Santa Cruz;2005;3;2;34.080 m2;1;24.363 m2;2;U$S 133.000
HDC844;Por el Urubo Urbanizacion Villa Bonita Linda Casa de350m2;Requiere mantenimiento;Urbanizacion Villa Bonita, Urubó, Santa Cruz;2016;4;3;642 m2;2;350 m2;3;U$S 210.000
Y14DA9;EN LA FLORIDA BELLA CASA EN ALQUILER O VENTA;Excelente estado;Urb. Privada, La Florida, La Paz;¡Preguntale!;5;3;600 m2;1;760 m2;3;U$S 700.000
C57BE5;portales del norte , casas ECO SMART;A estrenar;2 minutos de la avenida banzer , zona los sevillas, Norte, Santa Cruz;2022;3;3;176 m2;2;167 m2;2;U$S 109.900
ECC64;CASAS EN VENTA a ESTRENAR ZONA SUR;Buen estado;Dumont-7mo anillo a 3 cuadras de la AV Principal., Sur, Santa Cruz;¡Preguntale!;4;2;130 m2;2;128 m2;1;U$S 125.000
C2F79;Motivo de viaje;Excelente estado;Sur, Santa Cruz;¡Preguntale!;5;2;32 m2;¡Preguntale!;10 m2;¡Preguntale!;U$S 145
P55651;CASAS A ESTRENAR CON PRECIOS DE PREVENTA EN AV. SANTOS DUMONT;A estrenar;a 2 cuadras Av. Santos Dumont, zona residencial., Sur, Santa Cruz;2021;3;3;180 m2;2;175 m2;2;U$S 103.000
N6400C;CASA EN VENTA ZONA SIRARI EQUIPETROL;Excelente estado;Equipetrol B/ Sirari , Equipetrol, Santa Cruz;¡Preguntale!;4;3;370 m2;2;488 m2;2;U$S 370.000
1E396;HERMOSA CASA EN OFERTA;Excelente estado;Este, Santa Cruz;¡Preguntale!;3;2;200 m2;¡Preguntale!;120 m2;¡Preguntale!;U$S 60.000
W2B98A;COMODA CASA EN VENTA EN CONDOMINIO VICTORIA ZONA 4TO ANILLO ROCA Y CORONADO;Buen estado;Oeste, Santa Cruz;2012;3;3;265 m2;1;132 m2;2;U$S 149.000
M47F6C;Casa en Condominio "Almería Beni";Excelente estado;Av. Beni y 8vo anillo, Norte, Santa Cruz;2018;3;3;30.285 m2;1;164 m2;2;U$S 149.900
W0BE4E;Cómoda casa en venta con piscina Remanso 3,;Buen estado;remanso 3, Remanso, Santa Cruz;¡Preguntale!;3;3;275 m2;1;160 m2;¡Preguntale!;U$S 138.500
WBF489;CASA EN PREVENTA Barrio ORIENTAL, 4TO ANILLO, Canal Isuto;En construcción;RADIAL 26 ENTRE 4TO Y 5TO ANILLO, Norte, Santa Cruz;2023;3;3;175 m2;2;194 m2;2;U$S 167.000
X6241;Barrio La Ramada zona comercial vendo Casas cerca Av Isabel La Catolica;Requiere mantenimiento;Cerca Isabel La Catolica y La Ramada, Oeste, Santa Cruz;1997;5;2;380 m2;1;320 m2;2;U$S 380.000
RB553B;CASA;Buen estado;URB. SAN ANTONIO MZA. 24, UV. 005, LOTE 16, CALLE S/N, Warnes, Warnes;10 años;5;1;300 m2;1;110 m2;1;U$S 52.000
J8C5A8;CASA EN VENTA A ESTRENAR EN EL URUBO Condominio Villa Real;A estrenar;Urubó, Santa Cruz;2022;5;3;533 m2;2;340 m2;3;U$S 280.000
BCC2C7;CASA DE LUJO EN VENTA - CONDOMINIO URUBO;Excelente estado;Urubó, Santa Cruz;2016;3;3;1.502 m2;2;1.200 m2;3;Consultar
IA1B38;HERMOSA Y CENTRICA CASA EN VENTA 3 MINUTOS CINE CENTER .EMI,SCZ;Excelente estado;zona sur, Sur, Santa Cruz;2015;3;2;252 m2;2;140 m2;3;U$S 220.000
Y3B484;EN OFERTA HERMOSA CASA EN VENTA!! B/ POLANCO 3er ANILLO, Z/ SUR;Excelente estado;Barrio Polanco a 1 cuadra del 3er Anillo Zona Sur, Sur, Santa Cruz;10;4;3;788 m2;2;422 m2;3;U$S 399.000
LD04B5;CASA EN VENTA EN CONDOMINIO SEVILLA LAS TERRAZAS II ZONA NORTE;Excelente estado;Norte, Santa Cruz;2011;3;2;200 m2;1;94 m2;2;U$S 90.000
D93EAD;Av. Alemana Y 8vo Anillo;Excelente estado;Av. Alemana Y 8vo Anillo, Norte, Santa Cruz;2019;3;3;170 m2;2;150 m2;2;U$S 140.000
T2D091;Hermosa Casa;Excelente estado;Colinas del Urubo, Urubó, Santa Cruz;2020;5;3;2.000 m2;2;750 m2;3;U$S 1.300.000
N5AB33;CASA DE DOS PLANTAS EN VENTA EN EL TERCER ANILLO BARRIO POLANCO;Buen estado;polanco, Polanco, Santa Cruz;4;4;3;340 m2;2;235 m2;1;U$S 230.000
F79225;CASA EN VENTA DE DOS PLANTAS AV. BENI 5TO ANILLO;Excelente estado;Av. Beni 5to anillo, Hamacas, Santa Cruz;¡Preguntale!;4;3;380 m2;2;300 m2;2;U$S 280.000
Z4529F;CASA EN VENTA SOBRE AV. MUTUALISTA;Buen estado;Av. Mutualista entre 3er y 4to anillo, sobre la Avenida, Este, Santa Cruz;1995;5;3;300 m2;2;270 m2;3;U$S 240.000
T4906F;Casa en Fontana;A estrenar;Fontana, Norte, Santa Cruz;2022;3;2;42.660 m2;1;9.761 m2;2;U$S 105.500
RE81B3;Casa en venta con piscina en condominio zona norte;Buen estado;Zona norte Remanso, Remanso, Santa Cruz;¡Preguntale!;5;3;598 m2;2;480 m2;3;U$S 305.000
WCD56B;CASA EN VENTA ZONA NORTE "CIUDAD JARDIN";Buen estado;Zona norte 6to anillo Condominio Ciudad Jardin, Norte, Santa Cruz;¡Preguntale!;3;3;300 m2;2;332 m2;3;U$S 260.000
ZBEF40;CASA EN VENTA, SAN ALBERTO;Excelente estado;URBANIZACIÓN SAN ALBERTO, San Alberto, La Paz;¡Preguntale!;4;3;1.190 m2;2;591 m2;3;U$S 980.000
45495;HERMOSA CASA DE OCASIÓN SEVILLA LOS JARDINES;A estrenar;SEVILLA LOS JARDINES, Norte, Santa Cruz;¡Preguntale!;3;2;180 m2;1;95 m2;1;U$S 500
UB9734;CASA A ESTRENAR EN REMANSO 3;A estrenar;REMANSO 3, Remanso, Santa Cruz;2022;3;3;150 m2;2;145 m2;2;U$S 109.000
9D3CD;HERMOSAS CASAS MODELOS;A estrenar;AVENIDA BANZER ENTRANDO POR EL PRIMER SEVILLA AL FRENTE 2000 METROS HACIA LA RADIAL 26, LADO NORTE LA MOLINA , Norte, Santa Cruz;2018;None;2;300 m2;1;98 m2;1;U$S 1.000
Y9ABDF;CASA A ESTRENAR EN VENTA 5 HABITACIONES;A estrenar;Sacaba, Cochabamba;2022;5;3;340 m2;3;420 m2;3;U$S 179.000
N22EA0;EN VENTA - TOWNHOUSE COMPLETO! CON 4 DORM, ASCENSOR Y CHURRASQUERA;Buen estado;4to anillo Condominio Multifamiliar Boulevard Hamacas, Hamacas, Santa Cruz;¡Preguntale!;4;2;185 m2;2;185 m2;1;U$S 162.500
F4ACE9;Casa en venta a estrenar Av. Paragua entre 3er y 4to anillo;A estrenar;Este, Santa Cruz;¡Preguntale!;3;3;156 m2;1;153 m2;2;U$S 172.000
JE66A3;CASA EN VENTA ZONA NORTE;Buen estado;Av. Principal, paralela a la Av. Banzer y Av. Beni casi 4to. Anillo, Hamacas, Santa Cruz;2019;5;3;363 m2;2;300 m2;2;U$S 225.000
Y3AF72;ZONA NORTE CASA EN VENTA CON PISCINA;Excelente estado;Zona norte entre 6to y 7mo anillo, Norte, Santa Cruz;¡Preguntale!;4;3;178 m2;2;178 m2;2;U$S 145.000
AD6F84;EN VENTA CASA CENTRICA A PASOS DEL COLEGIO LA SALLE;Buen estado;Paseo El Prado, Centro, Cochabamba;2001;5;3;265 m2;2;297 m2;1;U$S 207.000
KC8093;DPTO. 2 DORM. EN VENTA - COND. EIVISSA;A estrenar;OCTAVO ANILLO, Norte, Santa Cruz;2020;2;2;95 m2;1;95 m2;2;U$S 87.000
D48989;CASA EN VENTA. COND. LAGUNA AZUL;Excelente estado;condominio laguna azul, Oeste, Santa Cruz;2015;3;2;600 m2;1;158 m2;3;U$S 115.000
K56F80;CONDOMINIO LOS MANGALES;Excelente estado;CONDOMINIO LOS MANGALES, Norte, Santa Cruz;2015;3;3;233 m2;1;205 m2;2;U$S 155.000
REB28B;CASA EN VENTA, Esquina Urb. COTOCA;A estrenar;URB. COTOCA, Este, Santa Cruz;2018;3;2;398 m2;1;151 m2;2;U$S 110.000
M88C70;*Casa Sobre Avenida en el Urubo - NEGOCIOS*;Excelente estado;villa bonita urubo, Urubó, Santa Cruz;2015;3;3;634 m2;1;212 m2;3;U$S 195.000
FADAF1;CASAS EN VENTA – PROYECTO “PALMAS DE COCO”;A estrenar;urbanización palmas del norte, Norte, Santa Cruz;2022;3;2;300 m2;1;120 m2;2;U$S 75.000
G28098;Casa en Venta 3 Suites - Condominio La Casona;Excelente estado;avenida virgen de cotoca, Este, Santa Cruz;2017;3;3;150 m2;2;202 m2;2;U$S 105.000
Z93B0E;Casa a Estrenar Zona Sur;A estrenar;Av. Santos Dumont entre 7mo y 8vo anillo, Sur, Santa Cruz;2022;4;3;240 m2;1;190 m2;2;U$S 89.000
Z724FD;CASA EN VENTA EN HACIENDA DEL URUBO;Excelente estado;CONDOMINIO HACIENDA DELL URUBO, Urubó, Santa Cruz;3;4;3;790 m2;1;384 m2;3;U$S 495.000
O86CB0;CASA EN VENTA DE 2 PISOS;Excelente estado;URB. EL TRAPICHE I, Este, Santa Cruz;2020;4;3;180 m2;2;185 m2;1;U$S 60.000
G3FD9D;Amplia Casa en Condominio;Excelente estado;6to anillo frente a la ucebol, Norte, Santa Cruz;2010;4;3;414 m2;2;350 m2;2;U$S 370.000
F5B1A3;Cómoda Casa en Venta;Buen estado;condominio Santa Cruz de la Colina, Urubó, Santa Cruz;2010;4;3;400 m2;1;223 m2;1;U$S 220.000
T9F46F;Hermosa casa en el Urubo- Condominio Santa Cruz de la Colina¡;A estrenar;condominio Santa Cruz de la Colina, Urubó, Santa Cruz;2022;3;3;371 m2;1;229 m2;2;U$S 185.000
Q4C6E8;Casa en Venta en Condominio¡;Buen estado;condominio Santa Cruz de la Colina, Urubó, Santa Cruz;2005;4;3;520 m2;1;256 m2;2;U$S 245.000
AF9B4E;Departamento en Venta!;A estrenar;Barrio Hamacas, Norte, Santa Cruz;2021;3;2;120 m2;1;120 m2;1;U$S 130.000
P79456;HERMOSA CASA EN VENTA - CONDOMINIO VICTORIA;Buen estado;Roca y Coronado , Oeste, Santa Cruz;2010;3;2;347 m2;2;274 m2;2;U$S 220.000
JE81C3;Urb. Punto Alto- Casa en Venta a Estrenar;A estrenar;Av. Montecristo 7mo Anillo, Este, Santa Cruz;2021;3;2;360 m2;1;125 m2;2;U$S 94.000
X645D4;CASA EN VENTA A ESTRENAR – COND. ICARAI;A estrenar;avenida a cotoca, Este, Santa Cruz;2020;3;2;451 m2;1;112 m2;2;U$S 88.000
S6553E;CASA EN VENTA A ESTRENAR– URB. PALMA VERDE;A estrenar;URB. PALMA VERDE, Este, Santa Cruz;2021;3;2;280 m2;1;120 m2;¡Preguntale!;U$S 75.000
PEA481;CASA EN VENTA CON EXCELENTE UBICACION EN ZONA ESTE SOBRE 4TO ANILLO;Sin Definir;Av. Nicolas Suarez Nº 3100 , 4to anillo entre Av. Paragua y Av. Canal cotoca, Este, Santa Cruz;¡Preguntale!;5;3;18.963 m2;2;215 m2;2;U$S 155.000
None;CASA EN VENTA CON EXCELENTE UBICACION EN ZONA ESTE SOBRE 4TO ANILLO;None;None;¡Preguntale!;None;None;None;None;None;None;None
ZA59C5;OCASION!!! CASA $us.129.700.- SUP.229M2 ZONA NORTE AV. SIMON LOPEZ Y AV. SEGUNDA;Buen estado;av.segunda y circunvalacion, Condebamba, Cochabamba;2014;5;3;229 m2;2;224 m2;3;U$S 129.700
E9142;CONDOMINIO JARDIN EUROPA;A estrenar;Cochabamba, Cochabamba;¡Preguntale!;3;3;230 m2;¡Preguntale!;272 m2;¡Preguntale!;U$S 235.000
K70B75;Casa en Venta en Los Pinos;Excelente estado;Los Pinos, La Paz;¡Preguntale!;5;3;398 m2;3;540 m2;1;U$S 650.000
S28A64;EN VENTA HERMOSA RESIDENCIA EN ACHUMANI;Excelente estado;Urb. Privada, Achumani, La Paz;¡Preguntale!;5;3;2.700 m2;2;900 m2;3;U$S 2.500.000
OA7EFA;Elegante Casa con piscina en Venta;Excelente estado;condominio Santa Cruz de la Colina, Urubó, Santa Cruz;2005;4;3;725 m2;1;400 m2;3;U$S 420.000
FB649C;CASA EN CONDOMINIO EN VENTA! Cota Cota La Paz-Bolivia;Excelente estado;Cota Cota, La Paz;¡Preguntale!;5;3;387 m2;3;410 m2;3;U$S 460.000
UBF344;CASA EN VENTA PLENA ESQUINA;Excelente estado;Ubicado 9no anillo virgen de lujan, Norte, Santa Cruz;¡Preguntale!;3;1;43.115 m2;1;172 m2;1;U$S 39.000
Q9167B;Casa en Urubo - Villa Bonita;Excelente estado;Villa Bonita, Urubó, Santa Cruz;2016;3;3;127 m2;2;211 m2;2;U$S 129.500
EE24C8;CASA EN VENTA;Buen estado;JARDINES DEL SUR, Achumani, La Paz;¡Preguntale!;3;2;450 m2;2;250 m2;3;U$S 240.000
LBB41A;CASA EN VENTA DE 4 SUITES EN SC LA VIEJA URUBÓ - A ESTRENAR;A estrenar;Condominio Santa Cruz la Vieja, Urubó, Santa Cruz;2022;5;3;450 m2;2;320 m2;3;U$S 315.000
W395C2;HERMOSA CASA EN VENTA EN CONDOMINIO JARDINES DEL URUBO II;Buen estado;CONDOMINIO JARDINES DEL URUBO II, Urubó, Santa Cruz;2016;3;3;268 m2;2;250 m2;2;U$S 195.000
B72A6D;Vendo en Porongo una Linda Casita de campo;Excelente estado;a 8 calles de la plaza principal, Porongo, Porongo;2020;None;1;300 m2;1;76 m2;2;U$S 43.000
D79E5F;Casa en Venta 5 dormitorios en Condominio Colinas del Urubó sector 2 (Urubó);Excelente estado;Condominio Colinas del Urubó sector 2, Urubó, Santa Cruz;¡Preguntale!;5;3;1.595 m2;1;802 m2;3;U$S 1.200.000
D7785;ECONOMICA CASA EN VENTA;Buen estado;Condominio Da'ddario, Oeste, Santa Cruz;2013;2;2;300 m2;1;138 m2;2;U$S 70.000
KA3C83;ZONA UNIVALLE -CASAS en pre venta, condominio SIGMA;A estrenar;EL REMANSO y octavo anillo, Remanso, Santa Cruz;PRE VENTA;3;3;160 m2;2;165 m2;2;U$S 122.900
H5EC8E;EN VENTA ZONA NORTE, HERMOSA CASA CON PISCINA ATEMPERADA, CONDOMINIO BARCELÓ;Excelente estado;Condominio Barceló, Remanso, Santa Cruz;2016;4;3;366 m2;2;364 m2;2;U$S 295.000
