E457CA;En venta casa de Lujo en Las Palmas;Excelente estado;Las Palmas, Las palmas, Santa Cruz;¡Preguntale!;4;3;600 m2;1;650 m2;2;U$S 850.000
V4E60E;CASA EN VENTA ZONA URUBO;Excelente estado;CONDOMINIO LA HACIENDA URUBO , Urubó, Santa Cruz;¡Preguntale!;4;3;732 m2;2;565 m2;3;U$S 850.000
UDB11F;TERRENO AMPLIO EN VENTA EN CONDOMINIO CERRADO - ZONA NORTE;Excelente estado;zona norte 5to anillo radial 26, Norte, Santa Cruz;¡Preguntale!;3;2;929 m2;1;70 m2;3;U$S 210.000
S7A47D;Condominio Jardines del Urubo 1;Buen estado;Condominio jardines del urubo 1, Urubó, Santa Cruz;2016;5;3;1.443 m2;2;1.043 m2;3;U$S 890.000
fFA51;Achumani - Propietario Vende Casa con Amplio Jardín;Buen estado;Huantaqui (Calle 6), Achumani, La Paz;2013;3;2;300 m2;2;180 m2;3;U$S 198.000
495E5;CASA EN VENTA LOMAS ALTO IRPAVI;Excelente estado;ALTO IRPAVI LOMAS DE UCHUAMAYA ENTRE C/A Y C/1, Irpavi, La Paz;2010;5;3;300 m2;3;¡Preguntale!;3;U$S 185.000
GCEFFB;Colinas del Urubo - Casa en venta;Excelente estado;Colinas del Urubo Sector 1, Urubó, Santa Cruz;2020;4;3;760 m2;2;516 m2;2;U$S 590.000
PB5359;Bella y Amplia Casa en Venta Zona Sur;Buen estado;Santos Dumont Urb. Occibol, Sur, Santa Cruz;2010;5;3;420 m2;2;285 m2;3;U$S 225.000
F7D34;Propiedad para ingresar directo;Buen estado;Norte, Santa Cruz;¡Preguntale!;3;2;130 m2;¡Preguntale!;110 m2;¡Preguntale!;U$S 87.900
Q3890E;CASA EN SEVILLA LAS TERRAZAS 1 - 3 DORM - PISCINA;Excelente estado;KM 10 AL NORTE, CONDOMINIO SEVILLA LAS TERRAZAS 1, Norte, Santa Cruz;10;3;3;212 m2;1;148 m2;2;U$S 120.000
T33471;Barrio Ramafa - Casa en Venta - 4 dorm.;Excelente estado;Santos Dumont y 2do Anillo, Sur, Santa Cruz;2013;4;3;450 m2;1;368 m2;3;U$S 315.000
Y3EDDF;INMUEBLE EN VENTA IDEAL PARA INSTITUCION O CONDOMINIO EN ZONA OESTE;Buen estado;Radial 17 1/2 entre 6to y 7mo Anillo, Doble via la guardia, Santa Cruz;¡Preguntale!;5;3;4.194 m2;3;1.760 m2;3;U$S 880.000
I83D7E;ESTRENAR CASA EN VENTA ECONOMICA;A estrenar;KM9 VIRGEN DE COTOCA, TRAPICHE., Este, Santa Cruz;2022;3;2;180 m2;1;120 m2;1;U$S 46.000
SEA9A7;Casas de lujo a estrenar y pre venta en el urubo;A estrenar;Villa bonita, Urubo, Urubó, Santa Cruz;2023;4;3;210 m2;2;157 m2;2;U$S 155.000
82378;Casa;Buen estado;Calle Nicolas Acosta a dos y media de la Plaza de San Pedro, San Pedro, La Paz;1980;5;3;572 m2;2;452 m2;¡Preguntale!;U$S 550.000
CE73DC;CASA AMOBLADA EN CONDOMINIO 5 DOR. $ 180.000.-;Excelente estado;Av. Beijing.y Av. Tadeo Haenke. , Norte, Cochabamba;2015;5;3;172 m2;3;257 m2;2;U$S 180.000
U79E37;CASA EN VENTA ZONA NORTE REMANSO 5 DORMITORIO EN CONDOMINIO CERRADO;Excelente estado;REMANSO, Remanso, Santa Cruz;5;5;3;598 m2;2;480 m2;3;U$S 305.000
A0212;Hermosa Casa a la venta - Construccion nueva;Excelente estado;Calle Alejando Guardia, final Ismael Montes a 6 cuadras de la terminal a una cuadra de la parada de la Línea 14., Sucre, Sucre;2017;4;3;200 m2;3;300 m2;1;U$S 180.000
15B62;HERMOSA CASA EN VENTA.;Excelente estado;Sur, Santa Cruz;¡Preguntale!;4;3;270 m2;¡Preguntale!;180 m2;¡Preguntale!;U$S 105.000
d667D;En venta Urubo;Excelente estado;Urubó, Santa Cruz;¡Preguntale!;4;3;552 m2;¡Preguntale!;635 m2;¡Preguntale!;U$S 520.000
RDF236;CASITA SUPER ECONOMICA;Excelente estado;Urbanización Papa Francisco, Norte, Santa Cruz;2018;3;1;26.676 m2;1;64 m2;2;U$S 38.500
E78311;CASA EN VENTA ZONA NORTE POR LA CHONTA;A estrenar;AVENIDA BANZER KM 9, Norte, Santa Cruz;NUEVA;3;3;163 m2;1;125 m2;2;U$S 80.000
C11B3;Papeles al dia;Buen estado;Avenida Mutualista Calle 36, Norte, Santa Cruz;¡Preguntale!;5;3;300 m2;2;200 m2;3;U$S 1.000
CEC9D;VENÍ A VIVIR EN CONDOMINIO SEGURO, CON ÁREAS SOCIALES Y CERCA DE TODO;Buen estado;ÁNGEL SANDOVAL, ZONA EL PARI, Oeste, Santa Cruz;2012;3;3;113 m2;3;113 m2;1;U$S 93.000
U1A7F0;ventas modernas y amplias casas ???? en CONDOMINIO CERRADO, ZONA NORTE;A estrenar;colegio cambring, Norte, Santa Cruz;¡Preguntale!;None;3;180 m2;1;110 m2;3;U$S 123.000
I6CEE7;CASA QUINTA EN VENTA POR DEBAJO DEL AVALÚO;Buen estado;Doble via la guardia, Santa Cruz;¡Preguntale!;2;2;600 m2;1;500 m2;3;U$S 80.000
667CA;Norte & Asociados vende;Excelente estado;Sur, Santa Cruz;¡Preguntale!;3;3;390 m2;¡Preguntale!;250 m2;¡Preguntale!;U$S 90.000
Y33F6D;URUBO HERMOSAS CASAS EN CONDOMINIO PRIVADO;A estrenar;Villa Bonita - Urubo, Urubó, Santa Cruz;2022;3;2;140 m2;2;177 m2;1;U$S 135.000
L6D9F9;CASA EN VENTA DE 2 PLANTA CON UN DEPARTAMENTO AUXILIAR ZONA IMBA;Buen estado;La Chimba, Cochabamba;¡Preguntale!;3;3;400 m2;¡Preguntale!;199 m2;1;U$S 156.000
C1CC0E;CASA EN VENTA EN EL URUBO CONDOMINIO SANTA CRUZ DE LA COLINA;A estrenar;Urubó, Santa Cruz;2022;3;3;371 m2;2;229 m2;3;U$S 185.000
66EB4;Casa en Venta en Condominio Santa Cruz de la Colina;Buen estado;Urubó, Santa Cruz;¡Preguntale!;3;3;350 m2;¡Preguntale!;133 m2;¡Preguntale!;U$S 125.000
I16BAE;CASA EN VENTA EN CONDOMINIO CIUDAD JARDIN;Excelente estado;ZONA NORTE AVENIDA BANZER, Norte, Santa Cruz;2016;3;3;380 m2;2;360 m2;2;U$S 370.000
X7E344;CASA EN VENTA SOBRE AVENIDA REMANSO II;Excelente estado;REMANSO II, Remanso, Santa Cruz;2015;3;3;301 m2;2;240 m2;2;U$S 185.000
U4F12C;CASA A ESTRENAR EN VENTA CERCA COLEGIO TIQUIPAYA;A estrenar;Av. Chillimarca - Calle Innominada a 100m de la Av. Ecológica , Tiquipaya, Cochabamba;2022;3;3;175 m2;2;190 m2;1;U$S 149.000
7675B;Casa en Achumani zon 23 de marzo 2da mezeta, calle principal, adoquinada;Buen estado;Achumani, La Paz;2017;3;2;200 m2;3;190 m2;3;U$S 150.000
T4D247;Casa en PREVENTA en Zona NorTe. FinanciamienTo de vivienda social;En construcción;Norte, Santa Cruz;2022;3;2;329 m2;1;104 m2;2;U$S 72.900
B5B488;CASA EN VENTA EN CONDOMINIO ZONA NORTE Av. Banzer 5to. y 6to anillo;Excelente estado;Norte, Santa Cruz;2014;3;2;168 m2;1;104 m2;1;U$S 145.000
DFAF41;CASAS ECONOMICAS EN LA ZONA DE VALLE SANCHEZ;A estrenar;URBANIZACION VALLE SANCHEZ, Norte, Santa Cruz;¡Preguntale!;3;2;250 m2;1;115 m2;2;U$S 55.000
E41E5F;VENDO REESIDENCIAL FUNCIONANDO !!!!!!!!!;Buen estado;av cañoto, Centro, Santa Cruz;10;5;3;548 m2;2;790 m2;¡Preguntale!;U$S 650.000
O1A349;CASA EN VENTA - LAS PALMERAS 2 (ZONA NORTE);A estrenar;av. cristo redentor, km 8.5, Norte, Santa Cruz;2022;4;2;160 m2;2;200 m2;1;U$S 124.900
A35AE4;VENDO REESIDENCIAL FUNCIONANDO !!!!!!!!!;Buen estado;av cañoto, Centro, Santa Cruz;10;2;3;548 m2;2;790 m2;¡Preguntale!;U$S 650.000
UD2268;HERMOSA CASA EN VENTA;Excelente estado;Ubicado en el 8vo anillo dentro del condominio Bavaria, Norte, Santa Cruz;¡Preguntale!;3;2;196 m2;1;196 m2;1;U$S 155.000
WFB860;CASAS A ESTRENAR EN VENTA;A estrenar;AVENIDA VIRGEN DE COTOCA, Este, Santa Cruz;¡Preguntale!;3;2;288 m2;1;123 m2;2;U$S 57.000
FFD48E;CASA EN VENTA - ZONA SUR;Excelente estado;Calle Santiago de Andamarca - Zona Sur, Cochabamba, Cochabamba;2017;5;3;257 m2;1;247 m2;1;U$S 159.500
K3FF03;Casa Nueva en Venta - Condominio PARK CITY;A estrenar;7mo. Anillo zona Norte, Norte, Santa Cruz;2018;3;3;146 m2;2;120 m2;2;U$S 114.500
WC090C;HERMOSA CASA MINIMALISTA, 3 PLANTAS, SECTOR AV. VICTOR USTARIZ KM 6;Buen estado;2 cuadras de la Arquimedes, Colcapirhua, Cochabamba;¡Preguntale!;None;4;200 m2;3;275 m2;1;U$S 139.000
CDFC79;Casa en venta a entrenar en zona norte;A estrenar;Av banzer km 8/1, Remanso, Santa Cruz;2022;3;2;291 m2;1;100 m2;2;U$S 79.000
DF6015;CASA EN VENTA CERCA AV. 2DA CIRCUNVALACION;Excelente estado;Cochabamba, Cochabamba;¡Preguntale!;4;3;320 m2;3;232 m2;3;U$S 164.000
XAFCD4;CASA EN VENTA CON 2 DEPARTAMENTOS COLINAS DE ANDALUCIA;En construcción;Cochabamba, Cochabamba;2020;5;3;450 m2;3;528 m2;2;U$S 230.000
207E1;LAS ORQUIDEAS;A estrenar;Este, Santa Cruz;¡Preguntale!;3;2;100 m2;¡Preguntale!;300 m2;¡Preguntale!;U$S 46.500
41B9E;Hermosa Casas en Venta;A estrenar;Oeste, Santa Cruz;2018;3;2;160 m2;2;160 m2;2;U$S 120.000
Z99B49;CASA EN VENTA ZONA URUBO CONDOMINIO JARDINES DEL URUBO l;Excelente estado;urubo, Urubó, Santa Cruz;5;4;3;800 m2;2;580 m2;3;U$S 650.000
Y230EB;Condominio Urubo Country;Excelente estado;Condominio Urubo Country , Urubó, Santa Cruz;¡Preguntale!;4;3;2.200 m2;2;1.393 m2;3;U$S 1.280.000
Z2CFF0;CASA EN VENTA AV. VIRGEN DE COTOCA 4TO ANILLO;Excelente estado;Av. Canal Cotoca casi 4to anillo, Sur, Santa Cruz;¡Preguntale!;4;3;464 m2;1;450 m2;3;U$S 179.000
L74E1B;Propiedad de lujo en Colinas Urubo;Excelente estado;Colinas del Urubo, Urubó, Santa Cruz;2019;5;3;820 m2;2;450 m2;3;U$S 530.000
D67088;CASA EN VENTA EN CONDOMINIO ZONA NORTE;Excelente estado;AV. BANZER 7MO ANILLO, Norte, Santa Cruz;2;3;3;167 m2;2;150 m2;2;U$S 149.000
AA0EB2;EN VENTA CASA EN SEVILLA LAS TERRAZAS 2;Excelente estado;CONDOMINIO SEVILLA LAS TERRAZAS 2, Norte, Santa Cruz;6;4;2;220 m2;1;180 m2;2;U$S 94.000
Q9D6AD;Casa en Venta Condominio La Fontana La Riviera 1;Buen estado;Km 8 y medio entre G77 y Avenida Internacional, Norte, Santa Cruz;2017;3;2;264 m2;1;108 m2;1;U$S 95.000
PD3633;CASA EN VENTA CONDOMINIO "FLORESTA";Excelente estado;Av. Banzer entre 5to y 6to anillo, Norte, Santa Cruz;¡Preguntale!;3;3;200 m2;2;180 m2;2;U$S 168.000
159BE;VENTA DE CASA POR NECESIDAD DE ENFERMEDAD;Excelente estado;barrio jardin latino calle sayubu # 55, Oeste, Santa Cruz;2005;3;2;391 m2;1;290 m2;1;U$S 140.000
X94B0A;EN VENTA PRECIOSA CASA EN UMAMANTA;Excelente estado;Umamanta, Umamanta, La Paz;¡Preguntale!;5;3;570 m2;2;360 m2;3;U$S 355.000
FF70D5;CASA EN ZONA DE GRAN PLUSVALIA - TARIJA;A estrenar;San Blas, cerca a la villa olímpica. S/N, Tarija, Tarija;¡Preguntale!;3;2;300 m2;1;300 m2;3;U$S 95.000
CD8FF3;CASA AMPLIA EN HERMOSA ZONA CERCA AL BOSQUESILLO DE TOMATITAS TARIJA;Excelente estado;Callejon de Tomatitas - Tarija, Tarija, Tarija;¡Preguntale!;5;3;349 m2;3;290 m2;3;U$S 169.000
M5F5DB;CASA EN VENTA CON TERRENO GRANDE Y DOBLE CONSTRUCCION Santos Dumont y Radial 13;Buen estado;Santos Dumont y Radial 13, 4to y 5to anillo, Sur, Santa Cruz;1995;4;3;420 m2;1;202 m2;2;U$S 199.000
P199B1;CASA EN VENTA TIPO MINIMALISTA DE 3 DORMITORIOS Av, Cumavi 5TO Y 6TO;Buen estado;A una cuadra de la Av, Cumavi entre 5to y 6to anillo. , Este, Santa Cruz;2015;3;2;177 m2;2;175 m2;2;U$S 125.000
MFE413;ESPECTACULARES CASAS EN VENTA Y EN PREVENTA - Cotoca;A estrenar;Municipio de Cotoca, entre 1er y 2do anillo, barrio San pablo, Cotoca, Cotoca;2022;3;2;240 m2;1;215 m2;2;U$S 69.000
OCCDFE;CASA EN VENTA DE OCASIÓN;Excelente estado;Ubicación: Virgen de Cotoca entre 8vo y 9no anillo, Este, Santa Cruz;¡Preguntale!;2;1;250 m2;1;250 m2;1;U$S 55.000
JEADA9;CASA EN VENTA ZONA CALA CALA 5 HABITACIONES;Excelente estado;Cochabamba, Cochabamba;2007;5;3;615 m2;1;256 m2;3;U$S 490.000
BE8F2C;CASA DE 9 DORMITORIOS EN VENTA ZONA NORTE;Excelente estado;Avenida Radial 26, Norte, Santa Cruz;2021;5;3;436 m2;2;485 m2;3;U$S 239.000
MB16E3;HERMOSA CASA EN VENTA;Excelente estado;entré noveno anillo y décimo palma verde, Este, Santa Cruz;¡Preguntale!;2;1;200 m2;1;100 m2;1;U$S 60.000
C5441A;HERMOSA CASA EN VENTA A ESTRENAR;Excelente estado;av. Monte Cristo y Madre selva entre octavo y Noveno anillo, Este, Santa Cruz;¡Preguntale!;3;2;200 m2;1;100 m2;2;U$S 110.000
Y700C1;URBANIZACION VIRU VIRU;A estrenar;URBANIZACION VIRU VIRU, Norte, Santa Cruz;2022;2;1;235 m2;1;90 m2;2;U$S 49.000
TEA1BD;Vendo hermosa casa amoblada en condominio;Excelente estado;calle jose otero, Doble via la guardia, Santa Cruz;¡Preguntale!;3;3;155 m2;2;155 m2;2;U$S 180.000
GC073B;CASA EN VENTA CON TIENDA CERCA CEMENTERIO CONCORDIA;Buen estado;Cochabamba, Cochabamba;2014;5;3;200 m2;2;310 m2;2;U$S 145.000
X5FFEB;Casa Venta Achumani;Excelente estado;MANZANO C, LOTE Nº 3, CASA Nº 4, ACHUMANI PAMIRPAMPA, Achumani, La Paz;2016;4;3;14.321 m2;3;34.740 m2;2;U$S 250.000
S1A242;HERMOSA RESIDENCIA EN VENTA EN ACHUMANI SUPER CÉNTRICA;Excelente estado;Av. Principal, Achumani, La Paz;¡Preguntale!;4;3;758 m2;2;492 m2;3;U$S 720.000
R27A17;CASA EN VENTA;Excelente estado;Ubicado doble vía la guardia km 16, Sur, Santa Cruz;¡Preguntale!;5;2;533 m2;1;150 m2;2;U$S 65.000
D700C6;DOS CASA JUNTAS EN VENTA EN PLENO DE SOPOCACHI EXCELENTE UBICACIÓN;Buen estado;Sopocachi, La Paz;¡Preguntale!;5;3;380 m2;3;378 m2;2;U$S 370.000
LA4BD3;Linda casa en venta condominio La Fontana Riviera 2;Excelente estado;Zona norte G77, Norte, Santa Cruz;¡Preguntale!;3;2;346 m2;1;196 m2;2;U$S 136.000
WBB9B2;Casa de lujo en venta con piscina en condominio zona Urubo;Buen estado;Urubo en condominio, Urubó, Santa Cruz;¡Preguntale!;4;3;545 m2;2;515 m2;3;U$S 410.000
TA44FA;PROPIEDAD DE RENTAS CON DOS SALONES ZONA NUEVA NOROESTE COCHABAMBA;Excelente estado;Noroeste, Cochabamba;¡Preguntale!;3;3;718 m2;2;577 m2;3;U$S 320.000
M728C0;Hermosa casa en venta zona Sur;Excelente estado;Urbanización España, Sur, Santa Cruz;2020;4;3;381 m2;2;372 m2;3;U$S 245.000
H77686;CASA EN VENTA EN CONDOMINIO SANTA CRUZ DE LA COLINA;A estrenar;Urubó, Santa Cruz;2022;3;3;625 m2;2;405 m2;3;U$S 310.000
H6E580;CASA EN VENTA EN CONDOMINIO SANTA CRUZ DE LA COLINA;A estrenar;CONDOMINIO SANTA CRUZ DE LA COLINA , Urubó, Santa Cruz;2022;3;3;625 m2;2;405 m2;3;U$S 310.000
T48AA1;Casa en venta Barrio Hamacas;Buen estado;Zoan Residencial entre Av. Alemana y Beni 3er y 4to anillo, Hamacas, Santa Cruz;2015;5;3;550 m2;2;457 m2;1;U$S 470.000
I461EE;CASA EN VENTA EN CONDOMINIO ZONA NORTE RADIAL 26;Excelente estado;NORTE, Norte, Santa Cruz;5;3;2;160 m2;1;114 m2;2;U$S 104.000
U6F0AB;Townhouse a estrenar Av. Paragua entre 3er y 4to anillo;A estrenar;Av. Paragua entre 3er y 4to anillo, Este, Santa Cruz;¡Preguntale!;3;1;73 m2;1;138 m2;2;U$S 97.000
A013AD;Casa en venta en condominio zona norte;Buen estado;Av. Radial 26 6to anillo, Norte, Santa Cruz;¡Preguntale!;3;3;160 m2;2;114 m2;2;U$S 104.000
FF10D2;CASA EN VENTA;Buen estado;Villa Bonita , Urubó, Santa Cruz;¡Preguntale!;3;3;127 m2;2;211 m2;2;U$S 129.500
D832DD;Casa en venta en condominio zona norte;Buen estado;Av. Banzer entre 5to y 6to anillo, Norte, Santa Cruz;¡Preguntale!;3;2;168 m2;1;104 m2;2;U$S 145.000
BE418A;HERMOSA CASA EN VENTA EN CONDOMINIO ZONA NORTE 5TO ANILLO;Excelente estado;AVENIDA BANZER 5TO ANILLO, Norte, Santa Cruz;2015;3;3;220 m2;2;168 m2;2;U$S 187.000
S4076E;COMPRA ESTA HERMOSA CASA EN CONDOMINIO CERRADO;Excelente estado;URBANIZACION LOS ROSALES, Calacoto, La Paz;¡Preguntale!;None;3;152 m2;2;191 m2;3;U$S 178.000
R77257;CASA DE LUJO EN VENTA - URUBO;A estrenar;SANTA CRUZ LA COLINA, Urubó, Santa Cruz;2023;4;3;406 m2;2;300 m2;1;U$S 289.000
WBBC0A;CASA EN VENTA ZONA URUBO;A estrenar;urubo, Urubó, Santa Cruz;1;4;3;450 m2;1;450 m2;2;U$S 410.000
XBB143;VENTA DE CASA ¡¡¡¡¡EXCLUSIVA!!!!;Buen estado;Zona Cambodromo Calle Tajivo/Almendra, Norte, Santa Cruz;2018;2;1;15 m2;1;10 m2;1;U$S 40.000
N53C57;VENTA DE CASA ¡¡¡¡¡EXCLUSIVA!!!!;Buen estado;Zona Cambodromo Calle Tajivo/Almendra, Ciudadelas, Santa Cruz;2018;2;1;15 m2;1;10 m2;1;U$S 40.000
WCA8FE;CASA EN VENTA EN CONDOMINIO SANTA CRZU DE LA COLINA;A estrenar;urubo, Urubó, Santa Cruz;1;3;3;625 m2;2;405 m2;2;U$S 310.000
I4A2D8;Casa en venta a estrenar av santos Dumont 6to anillo;A estrenar;Av santos Dumont 6to anillo y 7mo anillo , Sur, Santa Cruz;2022;3;3;299 m2;2;240 m2;2;U$S 134.800
J9339D;CASA EN VENTA ZONA CENTRO Calle Independencia;Buen estado;Calle Independencia a media cuadra de la plaza principal 24 de septiembre , Centro, Santa Cruz;1980;1;2;21.658 m2;1;150 m2;1;U$S 200.000
X42120;CASA EN VENTA LAS PALMITAS;A estrenar;UV 175 URBANIZACION LAS PALMITAS, Sur, Santa Cruz;2023;3;3;195 m2;2;140 m2;2;U$S 89.900
LBE7DA;Casa en venta, zona oeste 4to Anillo;A estrenar;Zona Oeste, 4to Anillo , Oeste, Santa Cruz;2023;4;3;180 m2;2;195 m2;2;U$S 148.000
F869FC;AUQUISAMAÑA, CASA 4D EN VENTA CON GARZONIER EN GRAN UBICACIÓN;Excelente estado;BAJO AUQUISAMAÑA, Auquisamaña, La Paz;¡Preguntale!;4;3;300 m2;2;438 m2;3;U$S 275.000
ND1ED1;Terreno En Venta Av. Doble Vía 6to anillo y radial 16;Requiere mantenimiento;Oeste, Santa Cruz;¡Preguntale!;4;2;455 m2;1;240 m2;3;U$S 112.000
P09F28;CASA EN VENTA - AV. ALEMANA;Excelente estado;ALEMANA, Norte, Santa Cruz;2010;5;3;756 m2;2;600 m2;3;U$S 395.000
B4CA7D;ATENCION INVERSIONISTAS - CASA AMPLIA EN PLENO CENTRO DE LA CIUDAD DE TARIJA;Buen estado;C/ Méndez y Virginio Lema N°418, Tarija, Tarija;¡Preguntale!;5;3;195 m2;1;338 m2;1;U$S 233.000
B1DFBA;EN VENTA BELLA Y MODERNA CASA EN ACHUMANI A PASOS CALLE 22;Excelente estado;Calle 22, Achumani, La Paz;¡Preguntale!;4;3;440 m2;2;560 m2;1;U$S 450.000
X9C7FD;CASA EN VENTA ZONA NORTE CON PISCINA;Buen estado;Queru Queru, Cochabamba;2016;5;3;300 m2;2;429 m2;2;U$S 340.000
CFE15A;En el Urubo, Hermosa Casa de 6 dorms de 1050m2 construidos;Buen estado;Urubó a 3 minutos del puente, Urubó, Santa Cruz;2015;5;3;1.600 m2;1;1.050 m2;3;U$S 890.000
J95593;HERMOSA CASA EN VENTA NORTE BENI Y BANZER 4TO Y 5TO ANILLO;Excelente estado;BANZER Y BENI 4TO Y 5TO ANILLO, Norte, Santa Cruz;2010;5;3;406 m2;2;330 m2;3;U$S 340.000
W6CDC5;PRECIOSA CASA EN VENTA CERCA DE UNIVERSIDAD PRIVADA BOLIVIANA;Excelente estado;Cerca a la U.P.B., en Urbanización Privada, Achocalla, La Paz;2020;4;3;250 m2;3;380 m2;3;U$S 178.000
AD4344;PROPIEDAD EN VENTA A DOS CUADRAS DE LA TERMINAL DE BUSES;Sin Definir;Av. Chacaltaya, Centro, La Paz;¡Preguntale!;5;3;630 m2;2;850 m2;3;U$S 420.000
VBE15D;CASA EN VENTA - ACHUMANI;Excelente estado;HUACOLLO - ACHUMANI, Achumani, La Paz;2002;4;3;331 m2;3;491 m2;2;U$S 398.000
YCAB55;CASA EN VENTA;Excelente estado;Ubicada en cond. La posada de los jardines a 5 minutos del puente del Urubo, Oeste, Santa Cruz;¡Preguntale!;5;2;334 m2;1;400 m2;2;U$S 290.000
V2049A;EXCLUSIVA CASA DE LUJO DENTRO DE CONDOMINIO EN ZONA NORTE;Excelente estado;CONDOMINIO LE PARC, Norte, Santa Cruz;2022;4;3;383 m2;2;463 m2;3;U$S 420.000
L37BBE;HERMOSA CASA EN VENTA A ESTRENAR EN AV. BANZER;A estrenar;AVENIDA CRISTO REDENTOR, Remanso, Santa Cruz;¡Preguntale!;4;3;300 m2;2;181 m2;2;U$S 110.000
H7AFA1;HERMOSA CASA 4 DORM.+ 3 GARAJES . PROX. EL BOSQUE I;Excelente estado;condominio el bosque, Tiquipaya, Cochabamba;2019;4;3;305 m2;2;270 m2;3;U$S 189.000
S62581;Casa en venta de Ocasión con piscina, Equipetrol;Buen estado;Entre 3er y 4to anillo, Equipetrol Norte, Equipetrol, Santa Cruz;15;4;3;314 m2;2;247 m2;2;U$S 345.000
CC07A6;CASA EN VENTA - URUBO;Excelente estado;Santa cruz de la vieja, Urubó, Santa Cruz;¡Preguntale!;4;3;546 m2;2;500 m2;3;U$S 410.000
B1F9D;CASA DE LUJO A ESTRENAR-LA HACIENDA DEL URUBO;A estrenar;CONDOMINIO LA HACIENDA DEL URUBO, Urubó, Santa Cruz;2019;5;3;754 m2;3;640 m2;3;U$S 630.000
95E85;HERMOSA CASA EN EL URUBO, OFERTA;Excelente estado;Urbanización jardines del Urubó II calle caoba nª 16, Urubó, Santa Cruz;2009;3;3;420 m2;2;160 m2;1;U$S 180.000
KF2044;Lujosa casa equipada al detalle en Condominio exclusivo(Zona Oeste).;Excelente estado;Radial 17/12 y Av. Pirai 4y5 Anillo., Oeste, Santa Cruz;¡Preguntale!;3;2;289 m2;2;315 m2;1;U$S 285.000
